node_id,betweenness
140,0.08360360286622714
458,0.0511723530056513
195,0.039903634974547325
1139,0.03021408391113186
136,0.028080188771533305
370,0.027927842930911998
443,0.02366740897845737
273,0.023468454309839952
566,0.02330376321063036
292,0.0231568027123853
1028,0.022551956787404723
416,0.0219886758260538
127,0.02060630441065804
1824,0.020420392631269175
823,0.018972545245975716
76,0.018641835756441596
213,0.01826931454888285
647,0.017348650854611954
353,0.017278459779246608
478,0.016038989948946536
